Target,Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Admission grade,Tuition fees up to date,Curricular units 2nd sem (evaluations),Previous qualification (grade),Age at enrollment,Curricular units 1st sem (evaluations),Course,Father's occupation,Mother's occupation,GDP,Unemployment rate,Application mode,Father's qualification,Inflation rate,Mother's qualification,Curricular units 2nd sem (enrolled),Curricular units 1st sem (enrolled),Scholarship holder,Application order,Debtor,Gender
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,114.3,0.0,0.0,122.0,20.0,0.0,9254.0,6.0,5.0,-4.06,15.5,17.0,37.0,2.8,37.0,6.0,6.0,0,1.0,0,0.0
Dropout,3.0,11.0,4.0,11.25,108.3,0.0,12.0,110.0,26.0,9.0,8378.5,6.0,5.0,1.79,12.4,44.0,37.0,0.5,37.0,10.0,9.0,0,1.0,0,0.0
Graduate,6.0,13.625,6.0,14.0,125.2,1.0,8.0,136.0,18.0,6.0,9070.0,9.0,9.0,1.74,10.8,1.0,38.0,1.4,37.0,6.0,6.0,1,3.0,0,0.0
Dropout,3.0,11.66666667,6.0,12.16666667,131.7,1.0,11.0,145.0,21.0,8.0,9254.0,9.0,4.0,1.74,10.8,1.0,38.0,1.4,1.0,6.0,6.0,1,1.0,0,0.0
Graduate,7.0,13.29714286,7.0,13.29714286,126.3,1.0,8.0,141.0,18.0,8.0,9500.0,3.0,3.0,1.74,10.8,17.0,37.0,1.4,38.0,8.0,8.0,0,3.5,0,0.0
Graduate,6.0,14.25,6.0,13.92307692,147.6,1.0,9.0,149.0,20.0,14.0,9085.0,6.0,4.0,-4.06,15.5,1.0,19.0,2.8,19.0,6.0,6.0,0,1.0,0,0.0
Graduate,7.0,12.83333333,7.0,13.37,125.1,1.0,13.0,130.0,18.0,11.0,9500.0,6.0,5.0,-4.06,15.5,1.0,19.0,2.8,38.0,8.0,7.0,0,3.5,0,0.0
Enrolled,3.0,11.0,5.0,12.4,123.8,1.0,8.0,121.0,19.0,5.0,9147.0,9.0,7.0,-1.7,12.7,17.0,38.0,3.7,19.0,5.0,5.0,1,3.5,0,0.0
Dropout,4.0,13.75,4.0,15.0,130.8,1.0,5.0,128.0,20.0,5.0,9670.0,2.0,2.0,0.32,7.6,1.0,1.0,2.6,1.0,5.0,5.0,0,1.0,0,0.0
Graduate,6.0,12.57142857,6.0,13.33333333,154.1,1.0,7.0,152.0,18.0,6.0,9853.0,5.0,9.0,-1.7,12.7,1.0,19.0,3.7,19.0,6.0,6.0,1,1.0,1,0.0
Enrolled,4.0,12.625,3.0,12.0,122.6,1.0,9.0,132.0,20.0,8.0,9147.0,9.0,9.0,1.74,10.8,16.0,37.0,1.4,37.0,5.0,5.0,1,2.0,0,0.0
Graduate,5.0,12.2,5.0,13.4,103.5,1.0,9.0,107.0,22.0,7.0,8378.5,0.0,0.0,0.32,7.6,1.0,11.0,2.6,19.0,6.0,6.0,0,2.0,0,0.0
Enrolled,0.0,6.8750000049999995,0.0,7.3999999999999995,132.8,1.0,0.0,131.0,18.0,0.0,8378.5,5.0,4.0,0.32,7.6,1.0,38.0,2.6,19.0,2.0,2.0,0,1.0,0,0.0
Graduate,5.0,11.4,4.0,11.5,100.0,1.0,5.0,141.0,21.0,9.0,9991.0,7.0,5.0,3.51,8.9,51.0,38.0,1.4,19.0,5.0,5.0,0,1.0,0,0.0
Enrolled,6.0,12.16666667,6.0,12.0,115.8,1.0,11.0,120.0,18.0,12.0,9853.0,0.0,9.0,0.79,13.9,18.0,1.0,-0.3,1.0,7.0,7.0,0,2.0,0,0.0
Graduate,7.0,13.48571429,7.0,13.48571429,133.8,1.0,8.0,148.0,18.0,8.0,9500.0,4.0,4.0,-1.7,12.7,1.0,19.0,3.7,19.0,8.0,8.0,0,1.0,0,0.0
Graduate,6.0,11.28571429,6.0,12.0,118.5,1.0,8.0,130.0,18.0,6.0,9070.0,5.0,4.0,3.51,8.9,1.0,19.0,1.4,12.0,6.0,6.0,1,1.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,150.3,1.0,0.0,145.0,19.0,0.0,8378.5,1.0,9.0,-4.06,15.5,17.0,37.0,2.8,37.0,2.0,2.0,0,1.0,0,0.0
Enrolled,3.0,14.42857143,3.0,10.33333333,107.8,1.0,11.0,112.0,19.0,7.0,9147.0,5.0,3.0,1.74,10.8,17.0,19.0,1.4,1.0,5.0,5.0,0,3.0,0,0.0
Enrolled,5.0,13.76,5.0,12.94,127.5,1.0,7.0,138.0,19.0,10.0,9500.0,4.0,9.0,-0.92,16.2,1.0,1.0,0.3,38.0,7.0,7.0,0,1.0,0,0.0
Graduate,7.0,13.25857143,7.0,13.25857143,120.5,1.0,11.0,135.0,19.0,11.0,9500.0,7.0,7.0,1.74,10.8,1.0,37.0,1.4,1.0,8.0,8.0,0,3.0,0,0.0
Enrolled,4.0,12.0,4.0,12.25,117.3,1.0,10.0,118.0,19.0,9.0,9147.0,10.0,10.0,3.51,8.9,1.0,2.0,1.4,1.0,5.0,5.0,0,1.0,0,0.0
Dropout,1.0,10.0,3.0,11.66666667,120.6,0.0,15.0,123.0,19.0,9.0,9254.0,7.0,9.0,1.74,10.8,17.0,37.0,1.4,38.0,6.0,6.0,0,1.0,0,0.0
Graduate,6.0,12.5,6.0,13.57142857,118.7,1.0,6.0,126.0,21.0,7.0,9254.0,7.0,9.0,3.51,8.9,16.0,37.0,1.4,38.0,6.0,6.0,1,3.5,0,0.0
Graduate,5.0,11.83333333,5.0,11.8,130.8,1.0,9.0,150.0,20.0,9.0,9773.0,7.0,9.0,-4.06,15.5,1.0,37.0,2.8,1.0,6.0,6.0,1,2.0,0,0.0
Graduate,5.0,13.28571429,5.0,14.2,112.6,1.0,7.0,121.0,20.0,7.0,9147.0,9.0,3.0,2.02,11.1,1.0,19.0,0.6,19.0,5.0,5.0,1,1.0,0,0.0
Graduate,5.0,11.8,5.0,11.0,117.2,1.0,6.0,133.1,34.0,8.0,9991.0,9.0,9.0,0.32,7.6,39.0,37.0,2.6,37.0,5.0,5.0,0,1.0,0,0.0
Enrolled,7.0,12.6375,4.0,13.625,130.0,1.0,8.0,130.0,32.0,16.0,9500.0,3.0,3.0,1.79,12.4,7.0,37.0,0.5,37.0,7.0,7.0,0,1.0,0,0.0
Graduate,7.0,14.65285714,7.0,14.65285714,131.8,1.0,8.0,139.0,18.0,8.0,9500.0,5.0,9.0,1.74,10.8,17.0,1.0,1.4,38.0,8.0,8.0,0,3.0,0,0.0
Graduate,6.0,11.33333333,6.0,11.33333333,97.0,1.0,6.0,160.0,34.0,9.0,8378.5,4.0,3.0,-4.06,15.5,39.0,37.0,2.8,37.0,6.0,6.0,1,1.0,0,0.0
Dropout,0.0,6.8750000049999995,4.0,13.7,130.0,0.0,7.0,110.0,32.0,12.0,9500.0,9.0,9.0,-0.92,16.2,39.0,37.0,0.3,37.0,7.0,7.0,0,1.0,1,0.0
Graduate,8.0,14.75,10.5,13.72727273,148.0,1.0,8.0,140.0,34.0,11.0,8378.5,9.0,5.0,1.79,12.4,39.0,37.0,0.5,19.0,8.0,10.0,0,1.0,0,0.0
Dropout,7.0,11.14285714,7.0,11.75,103.4,1.0,12.0,130.0,30.0,9.0,9147.0,9.0,9.0,-1.7,12.7,39.0,37.0,3.7,3.0,8.0,7.0,0,2.0,0,0.0
Graduate,5.0,13.0,6.0,12.33333333,127.1,1.0,11.0,132.0,23.0,9.0,9773.0,0.0,0.0,0.32,7.6,43.0,19.0,2.6,19.0,6.0,6.0,0,2.0,0,1.0
Dropout,6.0,13.85714286,6.0,14.0,124.0,1.0,7.0,139.0,20.0,6.0,9773.0,7.0,2.0,-4.06,15.5,17.0,1.0,2.8,3.0,6.0,6.0,1,2.0,0,0.0
Graduate,4.0,11.75,4.0,11.5,121.4,1.0,6.0,135.0,21.0,7.0,9670.0,7.0,5.0,-3.12,9.4,1.0,37.0,-0.8,19.0,5.0,5.0,0,1.0,0,1.0
Graduate,5.0,13.2,5.0,11.2,118.1,1.0,5.0,117.0,19.0,6.0,9147.0,7.0,5.0,1.79,12.4,1.0,19.0,0.5,38.0,5.0,5.0,0,1.0,0,1.0
Graduate,7.0,15.07,7.0,15.07,121.3,1.0,8.0,137.0,18.0,8.0,9500.0,3.0,4.0,1.74,10.8,17.0,19.0,1.4,1.0,8.0,8.0,1,3.5,0,1.0
Dropout,1.0,12.0,1.0,10.0,119.5,1.0,7.0,144.0,18.0,6.0,9119.0,0.0,0.0,1.74,10.8,42.0,34.0,1.4,34.0,5.0,5.0,0,1.0,0,1.0
Enrolled,5.0,12.66666667,4.0,12.0,115.2,1.0,6.0,130.0,24.0,5.0,9991.0,10.0,4.0,1.79,12.4,39.0,1.0,0.5,1.0,5.0,5.0,0,1.0,0,1.0
Graduate,4.0,12.6,4.0,13.0,130.2,1.0,11.0,140.0,22.0,11.0,9670.0,9.0,9.0,-1.7,12.7,18.0,37.0,3.7,1.0,6.0,6.0,0,1.0,0,1.0
Dropout,3.0,11.25,4.0,11.0,130.0,1.0,7.0,130.0,18.0,7.0,9254.0,5.0,5.0,-0.92,16.2,17.0,1.0,0.3,19.0,6.0,6.0,0,3.5,0,1.0
Graduate,5.0,12.16666667,6.0,13.57142857,126.9,1.0,11.0,130.0,18.0,8.0,9238.0,6.0,5.0,-3.12,9.4,16.0,37.0,-0.8,37.0,6.0,6.0,0,2.0,0,0.0
Graduate,5.0,14.2,5.0,14.6,160.15000000000003,1.0,6.0,152.0,21.0,7.0,9070.0,1.0,9.0,-0.92,16.2,1.0,1.0,0.3,2.0,6.0,6.0,0,2.0,0,1.0
Dropout,2.0,10.0,3.0,11.83333333,130.0,1.0,14.0,133.1,34.0,13.0,9500.0,9.0,9.0,-0.92,16.2,39.0,37.0,0.3,37.0,7.0,7.0,0,1.0,1,0.0
Graduate,8.0,12.5125,7.0,12.625,122.8,1.0,11.0,140.0,19.0,11.0,9556.0,9.0,9.0,-1.7,12.7,18.0,37.0,3.7,38.0,8.0,7.0,1,1.0,0,0.0
Dropout,3.0,12.33333333,4.0,11.5,110.0,1.0,14.0,133.1,34.0,12.0,9500.0,9.0,9.0,-0.92,16.2,39.0,37.0,0.3,37.0,7.0,7.0,0,1.0,0,0.0
Graduate,4.0,10.5,4.0,13.25,127.1,1.0,10.0,140.0,18.0,8.0,9085.0,9.0,9.0,-1.7,12.7,16.0,1.0,3.7,1.0,5.0,5.0,0,1.0,0,0.0
Graduate,6.0,11.9,7.0,12.60625,108.5,1.0,12.0,133.1,19.0,9.0,9500.0,5.0,5.0,1.79,12.4,1.0,19.0,0.5,19.0,8.0,7.0,0,3.0,0,0.0
Dropout,5.0,13.2,8.0,13.75,138.2,0.0,16.0,140.0,21.0,15.0,9085.0,9.0,9.0,3.51,8.9,53.0,38.0,1.4,19.0,9.0,10.0,0,1.0,1,0.0
Enrolled,6.0,11.93333333,6.0,13.59833333,96.0,1.0,11.0,133.1,19.0,10.0,9500.0,16.5,16.5,2.02,11.1,1.0,38.0,0.6,19.0,8.0,7.0,0,2.0,0,0.0
Graduate,6.0,12.28571429,5.0,11.14285714,124.5,1.0,8.0,135.0,18.0,11.0,9238.0,9.0,9.0,-0.92,16.2,1.0,19.0,0.3,19.0,6.0,6.0,1,1.0,0,0.0
Enrolled,10.0,12.96818182,10.5,12.7,120.0,1.0,12.0,120.0,34.0,11.0,9500.0,7.0,9.0,0.79,13.9,7.0,19.0,-0.3,37.0,10.0,10.0,0,1.0,0,0.0
Dropout,1.0,11.0,1.0,10.0,132.3,1.0,10.0,140.0,20.0,9.0,9147.0,7.0,9.0,0.32,7.6,17.0,37.0,2.6,37.0,5.0,5.0,0,1.0,0,0.0
Graduate,4.0,11.5,6.0,11.66666667,120.7,1.0,10.0,128.0,18.0,8.0,9254.0,7.0,5.0,0.79,13.9,17.0,1.0,-0.3,19.0,6.0,6.0,0,1.0,1,0.0
Graduate,6.0,13.14285714,6.0,14.0,132.6,1.0,7.0,141.0,18.0,8.0,9670.0,4.0,4.0,2.02,11.1,1.0,19.0,0.6,1.0,6.0,6.0,1,1.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,140.0,1.0,9.0,140.0,25.0,9.0,9130.0,0.0,0.0,1.74,10.8,7.0,34.0,1.4,34.0,5.0,5.0,0,2.0,0,0.0
Graduate,7.0,12.04142857,7.0,12.04142857,124.5,1.0,9.0,139.0,19.0,9.0,9500.0,4.0,4.0,1.74,10.8,1.0,1.0,1.4,1.0,8.0,8.0,0,3.5,0,0.0
Graduate,0.0,6.8750000049999995,0.0,7.3999999999999995,142.0,1.0,0.0,142.0,18.0,0.0,8378.5,7.0,7.0,0.79,13.9,1.0,19.0,-0.3,19.0,2.0,2.0,1,1.0,0,0.0
Graduate,12.0,14.58333333,10.5,13.76923077,130.0,1.0,16.0,130.0,34.0,14.0,9254.0,6.0,3.0,0.79,13.9,7.0,1.0,-0.3,1.0,10.0,10.0,0,1.0,0,0.0
Graduate,12.0,15.30769231,10.5,15.44444444,144.0,1.0,13.0,130.0,29.0,16.0,9003.0,9.0,9.0,-4.06,15.5,39.0,37.0,2.8,38.0,10.0,10.0,0,1.0,0,0.0
Enrolled,7.0,12.71428571,6.0,11.5,128.5,1.0,8.0,125.0,18.0,9.0,9853.0,7.0,4.0,0.79,13.9,17.0,19.0,-0.3,19.0,7.0,7.0,0,1.0,0,0.0
Dropout,0.0,6.8750000049999995,2.0,10.0,140.0,0.0,0.0,140.0,23.0,3.0,9070.0,3.0,9.0,1.74,10.8,7.0,2.0,1.4,37.0,6.0,3.0,0,1.0,0,0.0
Dropout,3.0,10.33333333,4.0,12.25,113.9,1.0,13.0,120.0,21.0,8.0,9853.0,5.0,5.0,-1.7,12.7,42.0,37.0,3.7,1.0,6.0,6.0,0,1.0,0,0.0
Graduate,6.0,15.16666667,6.0,14.5,137.2,0.0,6.0,147.0,18.0,6.0,9238.0,4.0,4.0,1.74,10.8,1.0,19.0,1.4,1.0,6.0,6.0,0,1.0,0,0.0
Graduate,6.0,16.375,6.0,15.57142857,140.0,1.0,8.0,140.0,23.0,7.0,9085.0,5.0,5.0,1.79,12.4,7.0,19.0,0.5,1.0,6.0,6.0,0,1.0,0,0.0
Graduate,6.0,14.71428571,6.0,15.57142857,152.3,1.0,7.0,161.0,18.0,7.0,9130.0,4.0,4.0,2.02,11.1,1.0,19.0,0.6,1.0,6.0,6.0,0,1.0,0,0.0
Graduate,6.0,12.16666667,5.0,13.8,112.5,1.0,7.0,133.1,32.0,8.0,8378.5,8.0,4.0,-3.12,9.4,39.0,37.0,-0.8,37.0,6.0,6.0,0,1.0,0,0.0
Dropout,2.0,14.8,3.0,10.66666667,101.0,0.0,14.0,150.0,29.0,8.0,9147.0,7.0,9.0,1.74,10.8,39.0,37.0,1.4,19.0,5.0,5.0,0,2.0,1,0.0
Graduate,4.0,11.75,5.0,11.6,112.3,1.0,8.0,113.0,20.0,8.0,9238.0,16.5,16.5,3.51,8.9,1.0,38.0,1.4,1.0,6.0,6.0,1,3.5,1,0.0
Dropout,0.0,6.8750000049999995,1.0,13.0,114.0,0.0,12.0,140.0,28.0,11.0,9238.0,0.0,0.0,-3.12,9.4,39.0,34.0,-0.8,34.0,6.0,6.0,0,1.0,0,0.0
Graduate,4.0,13.625,3.0,12.0,130.0,1.0,11.0,130.0,27.0,9.0,9147.0,9.0,1.0,1.74,10.8,7.0,38.0,1.4,38.0,5.0,5.0,0,1.0,0,0.0
Graduate,12.0,12.33333333,10.5,12.33333333,121.5,1.0,14.0,120.0,22.0,14.0,9500.0,0.0,16.5,0.32,7.6,43.0,34.0,2.6,37.0,10.0,10.0,0,2.0,1,0.0
Enrolled,6.0,12.9,6.0,12.875,120.0,1.0,12.0,133.1,34.0,10.0,9003.0,10.0,9.0,-0.92,16.2,39.0,37.0,0.3,19.0,6.0,6.0,0,1.0,1,0.0
Dropout,0.0,6.8750000049999995,1.0,11.0,130.0,0.0,0.0,130.0,28.0,12.0,8378.5,5.0,0.0,-1.7,12.7,7.0,38.0,3.7,37.0,6.0,6.0,0,1.0,0,0.0
Dropout,4.0,10.5,4.0,12.25,125.7,0.0,13.0,120.0,34.0,10.0,9003.0,9.0,9.0,3.51,8.9,39.0,37.0,1.4,37.0,6.0,6.0,0,1.0,1,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,128.0,0.0,8.0,140.0,32.0,7.0,9556.0,9.0,9.0,1.74,10.8,43.0,37.0,1.4,37.0,8.0,7.0,0,1.0,0,0.0
Enrolled,5.0,11.5,4.0,10.75,113.2,1.0,13.0,123.0,20.0,11.0,9238.0,9.0,9.0,-4.06,15.5,17.0,1.0,2.8,1.0,6.0,6.0,1,1.0,0,0.0
Graduate,8.0,13.63,8.0,13.63,120.0,1.0,9.0,133.1,34.0,9.0,9500.0,4.0,9.0,-3.12,9.4,39.0,1.0,-0.8,38.0,8.0,8.0,1,1.0,0,0.0
Graduate,4.0,11.5,3.0,13.0,117.8,1.0,7.0,130.0,21.0,8.0,9670.0,0.0,0.0,0.32,7.6,1.0,37.0,2.6,37.0,5.0,5.0,0,1.0,0,0.0
Enrolled,7.0,12.22857143,6.0,13.53333333,121.3,1.0,7.0,126.0,18.0,9.0,9500.0,9.0,7.0,1.79,12.4,1.0,19.0,0.5,19.0,7.0,7.0,1,3.5,0,0.0
Graduate,8.0,16.37777778,7.0,16.9,160.15000000000003,1.0,9.0,162.5,18.0,7.0,9500.0,7.0,3.0,-0.92,16.2,1.0,38.0,0.3,3.0,8.0,7.0,1,1.0,0,0.0
Graduate,4.0,12.0,5.0,12.0,117.7,1.0,11.0,124.0,18.0,10.0,9238.0,8.0,5.0,-0.92,16.2,17.0,19.0,0.3,19.0,6.0,6.0,0,3.5,0,0.0
Graduate,6.0,13.28571429,6.0,12.5,121.8,1.0,7.0,120.0,22.0,6.0,8378.5,6.0,7.0,1.79,12.4,44.0,37.0,0.5,19.0,6.0,6.0,0,1.0,0,0.0
Graduate,7.0,12.76428571,7.0,12.76428571,128.3,1.0,8.0,140.0,19.0,8.0,9500.0,10.0,4.0,1.74,10.8,1.0,1.0,1.4,1.0,8.0,8.0,0,2.0,0,0.0
Graduate,5.0,12.16666667,5.0,13.75,132.2,1.0,6.0,143.0,18.0,8.0,9147.0,7.0,9.0,0.79,13.9,18.0,38.0,-0.3,19.0,5.0,5.0,1,2.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,134.3,1.0,0.0,136.0,19.0,0.0,8378.5,4.0,3.0,1.79,12.4,1.0,1.0,0.5,39.0,2.0,2.0,0,2.0,1,0.0
Graduate,8.0,15.68333333,7.0,14.60428571,123.4,1.0,9.0,132.0,18.0,7.0,9500.0,5.0,9.0,2.02,11.1,1.0,1.0,0.6,19.0,8.0,7.0,1,1.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,121.7,0.0,7.0,133.1,31.0,7.0,9991.0,3.0,5.0,-0.92,16.2,39.0,39.0,0.3,19.0,5.0,5.0,0,1.0,1,0.0
Graduate,6.0,12.5,5.0,13.83333333,130.0,1.0,7.0,102.5,33.0,9.0,8378.5,5.0,1.0,-3.12,9.4,39.0,19.0,-0.8,1.0,6.0,6.0,1,1.0,1,0.0
Graduate,8.0,13.57625,8.0,13.57625,126.5,1.0,8.0,137.0,19.0,8.0,9500.0,7.0,7.0,-3.12,9.4,1.0,38.0,-0.8,19.0,8.0,8.0,1,3.0,0,0.0
Graduate,6.0,15.83333333,6.0,15.14285714,159.7,1.0,6.0,153.0,18.0,7.0,9238.0,7.0,7.0,-1.7,12.7,17.0,38.0,3.7,38.0,6.0,6.0,1,1.0,0,0.0
Graduate,5.0,11.6,3.0,10.66666667,151.3,1.0,8.0,160.0,23.0,8.0,9147.0,3.0,4.0,0.32,7.6,1.0,19.0,2.6,9.0,5.0,5.0,0,1.0,0,0.0
Graduate,6.0,12.0,5.0,11.2,138.0,1.0,6.0,145.0,20.0,11.0,9238.0,7.0,5.0,-3.12,9.4,17.0,38.0,-0.8,38.0,6.0,6.0,0,1.0,0,0.0
Graduate,8.0,13.76375,8.0,13.76375,126.5,1.0,8.0,137.0,18.0,8.0,9500.0,8.0,4.0,-3.12,9.4,1.0,38.0,-0.8,38.0,8.0,8.0,0,3.5,0,0.0
Enrolled,5.0,12.2,8.0,13.25,140.0,1.0,14.0,140.0,21.0,10.0,9085.0,3.0,4.0,3.51,8.9,53.0,1.0,1.4,1.0,9.0,9.0,0,1.0,1,0.0
Graduate,5.0,12.2,5.0,10.71428571,112.3,1.0,10.0,120.0,22.0,10.0,9238.0,6.0,5.0,-1.7,12.7,1.0,38.0,3.7,19.0,6.0,6.0,1,1.0,0,0.0
Graduate,6.0,11.66666667,6.0,12.16666667,127.3,1.0,7.0,122.0,20.0,6.0,9238.0,4.0,4.0,-3.12,9.4,1.0,19.0,-0.8,1.0,6.0,6.0,0,1.0,1,0.0
Graduate,6.0,14.35714286,6.0,14.35714286,130.0,1.0,8.0,130.0,23.0,8.0,9500.0,10.0,4.0,0.32,7.6,7.0,38.0,2.6,19.0,7.0,7.0,0,1.0,0,0.0
Graduate,6.0,12.66666667,6.0,12.83333333,115.0,1.0,6.0,133.1,19.0,6.0,9773.0,5.0,4.0,-0.92,16.2,17.0,1.0,0.3,3.0,6.0,6.0,0,2.0,0,0.0
Graduate,7.0,13.92571429,7.0,13.92571429,131.5,1.0,8.0,150.0,19.0,8.0,9500.0,1.0,1.0,1.74,10.8,17.0,37.0,1.4,1.0,8.0,8.0,0,3.5,0,0.0
Dropout,3.0,11.0,2.0,12.0,125.7,1.0,9.0,133.1,26.0,9.0,9991.0,4.0,7.0,1.74,10.8,39.0,38.0,1.4,19.0,5.0,5.0,0,1.0,0,0.0
Graduate,8.0,13.74444444,7.0,13.44285714,126.8,1.0,9.0,141.0,18.0,7.0,9500.0,3.0,4.0,-0.92,16.2,1.0,37.0,0.3,1.0,8.0,7.0,0,3.5,0,0.0
Dropout,0.0,6.8750000049999995,1.0,16.0,132.4,1.0,5.0,146.0,18.0,5.0,9119.0,7.0,7.0,-3.12,9.4,18.0,37.0,-0.8,1.0,5.0,5.0,0,1.0,0,1.0
Graduate,6.0,13.2,6.0,13.125,150.0,1.0,10.0,150.0,20.0,8.0,9003.0,9.0,9.0,-0.92,16.2,44.0,37.0,0.3,38.0,6.0,6.0,0,1.0,0,1.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,95.0,1.0,6.0,133.1,19.0,7.0,9670.0,4.0,4.0,-4.06,15.5,1.0,1.0,2.8,3.0,6.0,6.0,0,1.0,0,1.0
Dropout,4.0,11.0,5.0,11.4,128.2,0.0,4.0,120.0,32.0,9.0,9991.0,9.0,9.0,1.74,10.8,43.0,37.0,1.4,37.0,4.0,9.0,0,1.0,0,1.0
Dropout,3.0,11.66666667,2.0,11.0,130.0,0.0,9.0,150.0,31.0,12.0,9130.0,4.0,4.0,-3.12,9.4,39.0,19.0,-0.8,19.0,5.0,4.0,0,1.0,0,1.0
Enrolled,1.0,10.0,1.0,11.0,100.0,1.0,11.0,133.1,25.0,13.0,9119.0,5.0,4.0,0.79,13.9,39.0,19.0,-0.3,1.0,5.0,5.0,0,1.0,0,1.0
Graduate,5.0,13.0,5.0,13.66666667,159.9,1.0,10.0,140.0,21.0,14.0,9085.0,1.0,9.0,-0.92,16.2,42.0,3.0,0.3,19.0,6.0,6.0,0,1.0,0,0.0
Dropout,1.0,10.0,4.0,11.75,100.0,0.0,6.0,140.0,31.0,10.0,9991.0,9.0,4.0,-1.7,12.7,43.0,37.0,3.7,37.0,5.0,6.0,0,1.0,0,0.0
Dropout,1.0,13.0,1.0,10.0,116.5,1.0,7.0,133.1,34.0,11.0,9853.0,5.0,5.0,-0.92,16.2,39.0,37.0,0.3,37.0,7.0,7.0,0,1.0,0,0.0
Graduate,6.0,12.83333333,6.0,13.5,120.0,1.0,9.0,128.0,18.0,8.0,9238.0,9.0,9.0,2.02,11.1,1.0,19.0,0.6,19.0,6.0,6.0,1,1.0,0,0.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,117.0,1.0,0.0,117.0,19.0,0.0,9238.0,9.0,9.0,1.79,12.4,1.0,19.0,0.5,19.0,6.0,6.0,0,3.0,1,0.0
Enrolled,1.0,11.0,1.0,12.0,140.0,1.0,11.0,140.0,21.0,12.0,9670.0,6.0,3.0,3.51,8.9,53.0,37.0,1.4,19.0,6.0,6.0,0,1.0,1,0.0
Dropout,5.0,11.8,3.0,13.0,118.1,0.0,10.0,124.0,18.0,11.0,9853.0,3.0,5.0,-3.12,9.4,1.0,37.0,-0.8,38.0,6.0,6.0,0,2.0,0,0.0
Graduate,6.0,16.0,6.0,14.83333333,153.5,1.0,6.0,158.0,20.0,7.0,9254.0,8.0,4.0,2.02,11.1,1.0,39.0,0.6,19.0,6.0,6.0,0,1.0,0,0.0
Graduate,6.0,12.85714286,6.0,11.83333333,127.9,1.0,7.0,137.0,20.0,6.0,9773.0,5.0,9.0,-4.06,15.5,43.0,37.0,2.8,38.0,6.0,6.0,0,1.0,0,0.0
Graduate,5.0,12.33333333,5.0,12.0,118.8,1.0,11.0,123.0,18.0,10.0,9670.0,8.0,7.0,2.02,11.1,17.0,38.0,0.6,38.0,6.0,6.0,1,3.0,0,0.0
Graduate,6.0,11.33333333,4.0,12.75,126.7,1.0,7.0,126.0,19.0,11.0,9238.0,8.0,7.0,0.32,7.6,1.0,38.0,2.6,38.0,6.0,6.0,0,1.0,0,0.0
Enrolled,4.0,14.75,0.0,7.3999999999999995,160.15000000000003,1.0,7.0,162.5,19.0,5.0,9085.0,1.0,5.0,-1.7,12.7,43.0,19.0,3.7,19.0,5.0,5.0,0,1.0,0,0.0
Dropout,1.0,10.0,0.0,7.3999999999999995,110.0,1.0,16.0,133.1,30.0,7.0,9130.0,5.0,5.0,2.02,11.1,39.0,1.0,0.6,3.0,6.0,6.0,1,1.0,0,0.0
Graduate,6.0,12.85714286,6.0,12.0,115.0,1.0,7.0,115.0,19.0,6.0,9238.0,5.0,5.0,2.02,11.1,17.0,38.0,0.6,19.0,6.0,6.0,0,1.0,0,0.0
Graduate,8.0,13.8,7.0,11.67777778,119.0,1.0,8.0,132.0,19.0,9.0,9556.0,7.0,7.0,-1.7,12.7,1.0,37.0,3.7,38.0,8.0,7.0,0,3.0,0,0.0
Graduate,7.0,13.6,7.0,13.6,121.8,1.0,8.0,132.0,19.0,8.0,9500.0,7.0,4.0,-1.7,12.7,1.0,37.0,3.7,1.0,8.0,8.0,1,3.5,0,0.0
Graduate,6.0,15.875,6.0,16.0,133.4,1.0,8.0,143.0,19.0,7.0,9085.0,9.0,9.0,1.79,12.4,1.0,38.0,0.5,19.0,6.0,6.0,0,1.0,0,0.0
Graduate,6.0,11.5,5.0,11.8,131.4,1.0,7.0,137.0,20.0,9.0,9238.0,3.0,3.0,0.32,7.6,1.0,1.0,2.6,1.0,6.0,6.0,0,3.0,0,0.0
Dropout,2.0,14.0,0.0,7.3999999999999995,135.0,1.0,7.0,130.0,25.0,5.0,9119.0,3.0,9.0,0.79,13.9,42.0,37.0,-0.3,19.0,6.0,5.0,0,1.0,1,1.0
Dropout,0.0,6.8750000049999995,0.0,7.3999999999999995,122.8,1.0,0.0,121.0,19.0,0.0,9773.0,9.0,9.0,1.79,12.4,1.0,19.0,0.5,19.0,6.0,6.0,0,2.0,0,1.0
Graduate,6.0,16.2,6.0,16.14285714,140.0,1.0,10.0,130.0,34.0,7.0,9853.0,3.0,7.0,-3.12,9.4,39.0,19.0,-0.8,37.0,6.0,6.0,1,1.0,1,0.0
